scenario,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10
no_measures,50%,2.6,0%,0 (0-0),0,0,0
isolation_only,40%,1.8,29%,0 (0-0),0,0,0
isolation_outside,37%,1.7,35%,0 (0-0),0,0,0
hh_quaratine_only,35%,1.6,37%,2 (0-4),38000,9400,1900
hh_work_only,27%,1.2,53%,13 (1-110),540000,140000,27000
isolation_manual_tracing_met_only,26%,1.1,57%,22 (1-120),650000,160000,32000
isolation_manual_tracing,21%,0.94,64%,29 (1-140),830000,210000,41000
cell_phone,30%,1.4,47%,4 (1-69),310000,76000,15000
isolation_manual_tracing_met_only_cell,23%,1,61%,25 (1-130),740000,180000,37000
isolation_manual_tracing_met_limit,21%,0.93,64%,17 (1-110),560000,140000,28000
isolation_manual_tracing_met_only_cell_met_limit,20%,0.87,66%,21 (1-110),630000,160000,32000
pop_testing,33%,1.6,37%,0 (0-0),0,0,0
