scenario,basic,r_diff,r_eff,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,r_effective,aboveX,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.886,0,2.886,1,1,1,0.551,0.276,0,2.89,"55%, 28%",0%,1,180,90,45,0,4,0.95,0.53,0.6,0.5
isolation_only,2.792,0.949,1.843,1,1,1,0.385,0.162,0.3398997134670487,1.91,"38%, 16%",34%,1,180,90,45,0,4,0.95,0.53,0.6,0.5
hh_quaratine_only,2.558,0.981,1.577,3.5,1,9,0.345,0.135,0.3835027365129007,1.78,"34%, 14%",38%,3.5,630,320,160,0,4,0.95,0.53,0.6,0.5
hh_work_only,2.726,1.427,1.299,29,1,96,0.287,0.104,0.5234776228906823,1.38,"29%, 10%",52%,29,5200,2600,1300,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.872,1.557,1.315,37,2,118,0.289,0.103,0.5421309192200556,1.32,"29%, 10%",54%,37,6700,3300,1700,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.855,1.883,0.972,34,2,105.1,0.222,0.062,0.6595446584938705,0.983,"22%, 6.2%",66%,34,6100,3100,1500,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.773,1.685,1.088,45,2,137,0.247,0.08,0.6076451496574107,1.13,"25%, 8%",61%,45,8100,4000,2000,0,4,0.95,0.53,0.6,0.5
cell_phone,2.753,1.239,1.514,16,1,61,0.32,0.125,0.4500544860152561,1.59,"32%, 12%",45%,16,2900,1400,720,0,4,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.598,1.296,1.302,13,1,46,0.283,0.103,0.4988452655889145,1.45,"28%, 10%",50%,13,2300,1200,580,0,4,0.95,0.53,0.6,0.5
pop_testing,2.716,0.075,2.641,1,1,1,0.496,0.255,0.02761413843888072,2.81,"50%, 26%",2.8%,1,180,90,45,0,4,0.95,0.53,0.6,0.5
pt_extra,2.63,0.968,1.662,1,1,1,0.358,0.142,0.36806083650190113,1.82,"36%, 14%",37%,1,180,90,45,0,4,0.95,0.53,0.6,0.5
